[2025-07-29T10:35:55.434+0000] {logging_mixin.py:188} INFO - Scraping Page 89 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:36:04.758+0000] {logging_mixin.py:188} INFO - Scraping Page 90 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:36:13.654+0000] {logging_mixin.py:188} INFO - Scraping Page 91 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:36:22.577+0000] {logging_mixin.py:188} INFO - Scraping Page 92 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:36:31.444+0000] {logging_mixin.py:188} INFO - Scraping Page 93 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:36:40.305+0000] {logging_mixin.py:188} INFO - Scraping Page 94 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:36:49.161+0000] {logging_mixin.py:188} INFO - Scraping Page 95 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:36:58.019+0000] {logging_mixin.py:188} INFO - Scraping Page 96 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:37:06.849+0000] {logging_mixin.py:188} INFO - Scraping Page 97 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:37:15.702+0000] {logging_mixin.py:188} INFO - Scraping Page 98 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:37:24.532+0000] {logging_mixin.py:188} INFO - Scraping Page 99 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:37:33.389+0000] {logging_mixin.py:188} INFO - Scraping Page 100 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:37:42.339+0000] {logging_mixin.py:188} INFO - Scraping Page 101 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:37:51.420+0000] {logging_mixin.py:188} INFO - Scraping Page 102 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:38:00.278+0000] {logging_mixin.py:188} INFO - Scraping Page 103 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:38:09.103+0000] {logging_mixin.py:188} INFO - Scraping Page 104 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:38:17.959+0000] {logging_mixin.py:188} INFO - Scraping Page 105 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:38:26.772+0000] {logging_mixin.py:188} INFO - Scraping Page 106 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:38:35.645+0000] {logging_mixin.py:188} INFO - Scraping Page 107 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:38:44.530+0000] {logging_mixin.py:188} INFO - Scraping Page 108 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:38:53.450+0000] {logging_mixin.py:188} INFO - Scraping Page 109 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:39:02.285+0000] {logging_mixin.py:188} INFO - Scraping Page 110 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
