[2025-07-29T20:39:06.785+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-29T20:39:07.577+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: sequential_scraping_pipeline.process_urls_sequentially manual__2025-07-29T20:38:00.592017+00:00 [queued]>
[2025-07-29T20:39:07.887+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: sequential_scraping_pipeline.process_urls_sequentially manual__2025-07-29T20:38:00.592017+00:00 [queued]>
[2025-07-29T20:39:07.888+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-07-29T20:39:08.248+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): process_urls_sequentially> on 2025-07-29 20:38:00.592017+00:00
[2025-07-29T20:39:08.265+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=376) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-29T20:45:13.421+0000] {logging_mixin.py:188} INFO - Scraping Page 120 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:16.313+0000] {logging_mixin.py:188} INFO - Scraping Page 121 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:19.131+0000] {logging_mixin.py:188} INFO - Scraping Page 122 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:21.899+0000] {logging_mixin.py:188} INFO - Scraping Page 123 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:24.644+0000] {logging_mixin.py:188} INFO - Scraping Page 124 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:27.388+0000] {logging_mixin.py:188} INFO - Scraping Page 125 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:30.104+0000] {logging_mixin.py:188} INFO - Scraping Page 126 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:32.885+0000] {logging_mixin.py:188} INFO - Scraping Page 127 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:35.686+0000] {logging_mixin.py:188} INFO - Scraping Page 128 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:38.425+0000] {logging_mixin.py:188} INFO - Scraping Page 129 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:41.179+0000] {logging_mixin.py:188} INFO - Scraping Page 130 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:43.895+0000] {logging_mixin.py:188} INFO - Scraping Page 131 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:46.648+0000] {logging_mixin.py:188} INFO - Scraping Page 132 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:50.597+0000] {logging_mixin.py:188} INFO - Scraping Page 133 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:53.347+0000] {logging_mixin.py:188} INFO - Scraping Page 134 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:56.184+0000] {logging_mixin.py:188} INFO - Scraping Page 135 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:58.904+0000] {logging_mixin.py:188} INFO - Scraping Page 136 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:46:01.651+0000] {logging_mixin.py:188} INFO - Scraping Page 137 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:46:04.383+0000] {logging_mixin.py:188} INFO - Scraping Page 138 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:46:07.341+0000] {logging_mixin.py:188} INFO - Scraping Page 139 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:46:10.149+0000] {logging_mixin.py:188} INFO - Scraping Page 140 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:46:12.889+0000] {logging_mixin.py:188} INFO - Scraping Page 141 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:46:15.610+0000] {logging_mixin.py:188} INFO - Scraping Page 142 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:46:18.342+0000] {logging_mixin.py:188} INFO - Scraping Page 143 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:46:21.068+0000] {logging_mixin.py:188} INFO - Scraping Page 144 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:46:23.878+0000] {logging_mixin.py:188} INFO - Scraping Page 145 for Apple iPhone 12 (Blue, 128 GB)...
